1, 1048576, 0.181435
1, 131072, 0.0450458
1, 16384, 0.0356875
1, 2097152, 0.295741
1, 262144, 0.0701867
1, 32768, 0.0365197
1, 4096, 0.0311745
1, 4194304, 0.590139
1, 524288, 0.11626
1, 65536, 0.041867
1, 8192, 0.0338415
2, 1048576, 0.372653
2, 131072, 0.110097
2, 16384, 0.0586052
2, 2097152, 0.450783
2, 262144, 0.141195
2, 32768, 0.0609938
2, 4096, 0.0404042
2, 4194304, 0.778268
2, 524288, 0.219354
2, 65536, 0.0676057
2, 8192, 0.0672869
3, 1048576, 0.459687
3, 131072, 0.14691
3, 16384, 0.0422403
3, 2097152, 0.728317
3, 262144, 0.20147
3, 32768, 0.0490929
3, 4096, 0.0332316
3, 4194304, 1.36686
3, 524288, 0.351898
3, 65536, 0.0633521
3, 8192, 0.0365963
