client,rep,num_osd,num_replica,avg_throughput,avg_latency,stdev_throughput,stdev_latency
1,0,6,1,    22.641 ,       2.82672,      17.1481,        2.82193
0,0,6,1,    24.164 ,       2.64609,      17.812,        2.65829
1,0,5,1,    33.999 ,       1.87304,      12.4797,        1.35651
0,0,5,1,    35.115 ,       1.82088,      13.9911,        1.35935
1,0,4,1,    20.598 ,       3.10548,      14.7172,        2.74125
0,0,4,1,    21.132 ,       3.02116,      14.3576,        2.72423
1,0,3,1,    20.276 ,       3.15465,      13.0024,        2.5446
0,0,3,1,    21.056 ,       3.03163,      13.25,        2.55159
1,0,2,1,    16.396 ,       3.89926,      11.7584,        2.47355
0,0,2,1,    16.967 ,       3.75327,      13.1637,        2.40686
1,0,1,1,    8.750 ,       7.31405,      8.95999,        1.97925
0,0,1,1,    9.580 ,       6.65554,      9.3653,        1.78867
